Names	Genes	amr_gene_family	drug_class	resistance_mechanism	Description	Amblerclass	Subfamily	Note	Source
rmtF	ARO:3002666	16S rRNA methyltransferase (G1405)	aminoglycoside	target alteration	RmtF is a 16S rRNA methyltransferase found in P. aeruginosa which methylates G1405 of the 16S rRNA. It confers high level resistance to many aminoglycosides.				
rmtG	ARO:3002668	16S rRNA methyltransferase (G1405)	aminoglycoside	target alteration	RmtG is a 16S rRNA methyltransferase found in P. aeruginosa which methylates G1405 of the 16S rRNA. It confers high level resistance to many aminoglycosides.				
rmtH	ARO:3003198	16S rRNA methyltransferase (G1405)	aminoglycoside	target alteration	rmtH is a 16s ribosomal RNA methyltransferase found in Klebsiella pneumoniae strain MRSN2404 that was isolated from the chronic wound of a soldier wounded in Iraq in 2006. It confers high resistance to all aminoglycosides				
sgm	ARO:3000862	16S rRNA methyltransferase (G1405)	aminoglycoside	target alteration	Sgm, or sisomicin-gentamicin methyltransferase, methylates G1405 of 16S rRNA to confer resistance to various aminoglycosides.				
LpxA	ARO:3003573	A.baumanii mutant Lpx [Colisitn]	peptide	target alteration	The LpxA gene is widely known to be involved in the biosynthesis of lipid A in Gram-negative bacteria and mutations to this gene may cause resistance to antimicrobial peptides that target the outer membrane				
LpxC	ARO:3003574	A.baumanii mutant Lpx [Colisitn]	peptide	target alteration	The LpxC gene is widely known to be involved in the biosynthesis of lipid A in Gram-negative bacteria and mutations to this gene may cause resistance to antimicrobial peptides that target the outer membrane				
LpxD	ARO:3003575	A.baumanii mutant Lpx [Colisitn]	peptide	target alteration	The LpxD gene is widely known to be involved in the biosynthesis of lipid A in Gram-negative bacteria and mutations to this gene may cause resistance to antimicrobial peptides that target the outer membrane				
AAC(1)-I	ARO:3000317	AAC(1)	aminoglycoside	inactivation	Acetylation of paromomycin, and apramycin, on the amino group at position 1 in E. coli, Actinomycete, Campylobacter spp.				
AAC(2')-Ia	ARO:3002523	AAC(2')	aminoglycoside	inactivation	AAC(2')-Ia is a chromosomal-encoded aminoglycoside acetyltransferase in P. stuartii				
AAC(2')-Ib	ARO:3002524	AAC(2')	aminoglycoside	inactivation	AAC(2')-Ib is a chromosomal-encoded aminoglycoside acetyltransferase in Mycolicibacterium fortuitum and A. baumannii				
AAC(2')-Ic	ARO:3002525	AAC(2')	aminoglycoside	inactivation	AAC(2')-Ic is a chromosomal-encoded aminoglycoside acetyltransferase in M. tuberculosis and M.tuberculosis variant bovis				
AAC(2')-Id	ARO:3002526	AAC(2')	aminoglycoside	inactivation	AAC(2')-Id is a chromosomal-encoded aminoglycoside acetyltransferase in Mycolicibacterium smegmatis				
AAC(2')-Ie	ARO:3002527	AAC(2')	aminoglycoside	inactivation	AAC(2')-Ie is a chromosomal-encoded aminoglycoside acetyltransferase in M. leprae				
AAC(2')-IIa	ARO:3004628	AAC(2')	aminoglycoside	inactivation	AAC(2')-IIa is a kasugamycin 2' N-acetyltransferase protein found in Burkholderia glumae and Acidovorax avenae isolates				
AAC(2')-IIb	ARO:3003988	AAC(2')	aminoglycoside	inactivation	AAC(2')-IIb is an intrinsic Kasugamycin 2' acetyltransferase protein found in Paenibacillus sp. LC231, a strain of Paenibacillus isolated from Lechuguilla Cave, NM, USA. Confers resistance to aminoglycosides, including kasugamycin. Described by Pawlowski et al. 2016.				
AAC(3)-Ia	ARO:3002528	AAC(3)	aminoglycoside	inactivation	AAC(3)-Ia is an aminoglycoside acetyltransferase encoded by plasmids, transposons, integrons in S. marcescens, E. coli, A. baumannii, Klebsiella pneumoniae, Klebsiella oxytoca, P. aeruginosa, Salmonella typhimurium and Proteus mirabilis				
AAC(3)-Ib	ARO:3002530	AAC(3)	aminoglycoside	inactivation	AAC(3)-Ib is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa				
AAC(3)-Ic	ARO:3002531	AAC(3)	aminoglycoside	inactivation	AAC(3)-Ic is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa				
AAC(3)-Id	ARO:3002529	AAC(3)	aminoglycoside	inactivation	AAC(3)-Id is an aminoglycoside acetyltransferase encoded by genomic islands and integrons in S. enterica, P. mirabilis and Vibrio fluvialis				
AAC(3)-IIa	ARO:3002533	AAC(3)	aminoglycoside	inactivation	AAC(3)-IIa is a plasmid-encoded aminoglycoside acetyltransferase in K. pneumoniae, E. cloacae, Actinobacillus pleuropneumoniae, S. typhimurium, Citrobacter freundii, and P. aeruginosa.				
AAC(3)-IIb	ARO:3002534	AAC(3)	aminoglycoside	inactivation	AAC(3)-IIb is an aminoglycoside acetyltransferase in E. coli, A. faecalis and S. marcescens				
AAC(3)-IIc	ARO:3002535	AAC(3)	aminoglycoside	inactivation	AAC(3)-IIc is a plasmid-encoded aminoglycoside acetyltransferase in E. coli and P. aeruginosa				
AAC(3)-IId	ARO:3004623	AAC(3)	aminoglycoside	inactivation	AAC(3)-IId is a plasmid-encoded aminoglycoside acetyltransferase in E. coli				
AAC(3)-IIe	ARO:3004621	AAC(3)	aminoglycoside	inactivation	AAC(3)-IIe is a plasmid-encoded aminoglycoside acetyltransferase in E. coli				
AAC(3)-IIIa	ARO:3002536	AAC(3)	aminoglycoside	inactivation	AAC(3)-IIIa is a chromosomal-encoded aminoglycoside acetyltransferase in P. aeruginosa				
AAC(3)-IIIb	ARO:3002537	AAC(3)	aminoglycoside	inactivation	AAC(3)-IIIb is an aminoglycoside acetyltransferase in P. aeruginosa				
AAC(3)-IIIc	ARO:3002538	AAC(3)	aminoglycoside	inactivation	AAC(3)-IIIc is an aminoglycoside acetyltransferase in P. aeruginosa				
AAC(3)-IV	ARO:3002539	AAC(3)	aminoglycoside	inactivation	AAC(3)-IV is a plasmid-encoded aminoglycoside acetyltransferase in E. coli, C. jejuni and P. stutzeri				
AAC(3)-IXa	ARO:3002543	AAC(3)	aminoglycoside	inactivation	AAC(3)-IXa is a chromosomal-encoded aminoglycoside acetyltransferase in Micromonospora chalcea				
AAC(3)-VIa	ARO:3002540	AAC(3)	aminoglycoside	inactivation	AAC(3)-VIa is a plasmid-encoded aminoglycoside acetyltransferase in E. cloacae, S. enterica and E. coli				
AAC(3)-VIIa	ARO:3002541	AAC(3)	aminoglycoside	inactivation	AAC(3)-VIIa is a chromosomal-encoded aminoglycoside acetyltransferase in Streptomyces rimosus				
AAC(3)-VIIIa	ARO:3002542	AAC(3)	aminoglycoside	inactivation	AAC(3)-VIIIa is a chromosomal-encoded aminoglycoside acetyltransferase in Streptomyces fradiae				
AAC(3)-Xa	ARO:3002544	AAC(3)	aminoglycoside	inactivation	AAC(3)-Xa is a chromosomal-encoded aminoglycoside acetyltransferase in Streptomyces griseus				
AAC(3)-Ib/AAC(6')-Ib''	ARO:3002600	AAC(3);AAC(6')	aminoglycoside	inactivation	AAC(3)-Ib/AAC(6')-Ib'' is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa				
AAC(6')-29a	ARO:3002583	AAC(6')	aminoglycoside	inactivation	AAC(6')-29a is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa				
AAC(6')-29b	ARO:3002584	AAC(6')	aminoglycoside	inactivation	AAC(6')-29b is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa				
AAC(6')-30/AAC(6')-Ib'	ARO:3002599	AAC(6')	aminoglycoside	inactivation	AAC(6')-30/AAC(6')-Ib' is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa				
AAC(6')-31	ARO:3002585	AAC(6')	aminoglycoside	inactivation	AAC(6')-31 is an integron-encoded aminoglycoside acetyltransferase in P. putida, A. baumannii and K. pneumoniae				
AAC(6')-32	ARO:3002586	AAC(6')	aminoglycoside	inactivation	AAC(6')-32 is an aminoglycoside acetyltransferase encoded by plasmids and integrons in P. aeruginosa				
AAC(6')-33	ARO:3002587	AAC(6')	aminoglycoside	inactivation	AAC(6')-33 is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa				
AAC(6')-34	ARO:3003989	AAC(6')	aminoglycoside	inactivation	AAC(6')-34 is an aminoglycoside 6'-phosphotransferase found in Paenibacillus sp. LC231, a strain of Paenibacillus from Lechuguilla Cave, NM, USA. Confers resistance to aminoglycosides. Described by Pawlowski et al. 2016.				
AAC(6')-I30	ARO:3002588	AAC(6')	aminoglycoside	inactivation	AAC(6')-I30 is an integron-encoded aminoglycoside acetyltransferase in S. enterica				
AAC(6')-Ia	ARO:3002545	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ia is an aminoglycoside acetyltransferase encoded by plasmids, transposons, integrons in Citrobacter diversus, E. coli, K. pneumoniae, Shigella sonnei, and P. aeruginosa.				
AAC(6')-Iaa	ARO:3002571	AAC(6')	aminoglycoside	inactivation	AAC(6')-Iaa is a chromosomal-encoded aminoglycoside acetyltransferase in S. typhimurium				
AAC(6')-Iad	ARO:3002572	AAC(6')	aminoglycoside	inactivation	AAC(6')-Iad is a plasmid-encoded aminoglycoside acetyltransferase in A. genomosp. 3				
AAC(6')-Iae	ARO:3002573	AAC(6')	aminoglycoside	inactivation	AAC(6')-Iae is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa and S. enterica				
AAC(6')-Iaf	ARO:3002574	AAC(6')	aminoglycoside	inactivation	AAC(6')-Iaf is an aminoglycoside acetyltransferase encoded by plasmids and integrons in P. aeruginosa				
AAC(6')-Iag	ARO:3004638	AAC(6')	aminoglycoside	inactivation	AAC(6')-Iag is an aminoglycoside acetyltransferase encoded by integrons in P. aeruginosa				
AAC(6')-Iai	ARO:3002575	AAC(6')	aminoglycoside	inactivation	AAC(6')-Iai is an aminoglycoside acetyltransferase encoded by plasmids and integrons in P. aeruginosa				
AAC(6')-Iaj	ARO:3003677	AAC(6')	aminoglycoside	inactivation	AAC(6')-Iaj is a functional acetyltransferase that modifies the amino groups at the 6' positions of aminoglycosides and contributes to aminoglycoside resistance of P. aeruginosa				
AAC(6')-Iak	ARO:3003199	AAC(6')	aminoglycoside	inactivation	AAC(6')-Iak is a 6'-N-aminoglycoside acetyltransferase-encoding gene isolated from a multidrug-resistant clinical isolate of Stenotrophomonas maltophilia				
AAC(6')-Ian	ARO:3003200	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ian is an amikacin acetyltransferase gene found on a transferable plasmid of the Serratia marcescens strain NUBL-11663. It catalyzes the transfer of an acetyl group from acetyl coenzyme A onto an amine at the 6'-position of various aminoglycosides.				
AAC(6')-Ib	ARO:3002546	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ib is an aminoglycoside acetyltransferase encoded by plasmids, transposons, integrons in K. pneumoniae, P. mirabilis, P. aeruginosa, S. enterica, K. oxytoca, S. maltophilia, E. cloacae and V. cholerae				
AAC(6')-Ib'	ARO:3003676	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ib' is an aminoglycoside acetyltransferase encoded by plasmids, transposons, integrons in P. aeruginosa and P. fluorescens.				
AAC(6')-Ib-cr	ARO:3002547	AAC(6')	fluoroquinolone;aminoglycoside	inactivation	AAC(6')-Ib-cr is an aminoglycoside acetyltransferase encoded by plasmids, transposons, integrons in Enterobacteriaceae. The aac(6')-Ib-cr variant gene can induce resistance against aminoglycoside and fluoroquinolone simultaneously				
AAC(6')-Ib-Hangzhou	ARO:3002592	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ib-Hangzhou is an aminoglycoside acetyltransferase in A. baumannii				
AAC(6')-Ib-SK	ARO:3002593	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ib-SK is a chromosomal-encoded aminoglycoside acetyltransferase in Streptomyces kanamyceticus				
AAC(6')-Ib-Suzhou	ARO:3002591	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ib-Suzhou is an aminoglycoside acetyltransferase in E. cloacae and K. pneumoniae				
AAC(6')-Ib10	ARO:3002581	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ib10 is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa				
AAC(6')-Ib11	ARO:3002582	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ib11 is an integron-encoded aminoglycoside acetyltransferase in S. enterica				
AAC(6')-Ib3	ARO:3002576	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ib3 is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa				
AAC(6')-Ib4	ARO:3002577	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ib4 is an aminoglycoside acetyltransferase in Serratia spp.				
AAC(6')-Ib7	ARO:3002578	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ib7 is a plasmid-encoded aminoglycoside acetyltransferase in E. cloacae and C. freundii				
AAC(6')-Ib8	ARO:3002579	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ib8 is a plasmid-encoded aminoglycoside acetyltransferase in E. cloacae				
AAC(6')-Ib9	ARO:3002580	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ib9 is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa				
AAC(6')-Ic	ARO:3002549	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ic is a chromosomal-encoded aminoglycoside acetyltransferase in S. marcescens				
AAC(6')-If	ARO:3002553	AAC(6')	aminoglycoside	inactivation	AAC(6')-If is a plasmid-encoded aminoglycoside acetyltransferase in E. cloacae				
AAC(6')-Ig	ARO:3002554	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ig is a chromosomal-encoded aminoglycoside acetyltransferase in A. haemolyticus				
AAC(6')-Ih	ARO:3002555	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ih is a plasmid-encoded aminoglycoside acetyltransferase in A. baumannii				
AAC(6')-Ii	ARO:3002556	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ii is a chromosomal-encoded aminoglycoside acetyltransferase in Enterococcus spp.				
AAC(6')-IIa	ARO:3002594	AAC(6')	aminoglycoside	inactivation	AAC(6')-IIa is an aminoglycoside acetyltransferase encoded by plasmids and integrons in P. aeruginosa and S. enterica				
AAC(6')-IIb	ARO:3002595	AAC(6')	aminoglycoside	inactivation	AAC(6')-IIb is an integron-encoded aminoglycoside acetyltransferase in P. fluorescens				
AAC(6')-IIc	ARO:3002596	AAC(6')	aminoglycoside	inactivation	AAC(6')-IIc is an aminoglycoside acetyltransferase encoded by plasmids and integrons in E. cloacae				
AAC(6')-Iid	ARO:3002589	AAC(6')	aminoglycoside	inactivation	AAC(6')-Iid is a chromosomal-encoded aminoglycoside acetyltransferase in Enterococcus durans				
AAC(6')-Iih	ARO:3002590	AAC(6')	aminoglycoside	inactivation	AAC(6')-Iih is a chromosomal-encoded aminoglycoside acetyltransferase in Enterococcus hirae				
AAC(6')-Ij	ARO:3002557	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ij is a chromosomal-encoded aminoglycoside acetyltransferase in A. genomosp. 13				
AAC(6')-Ik	ARO:3002558	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ik is a chromosomal-encoded aminoglycoside acetyltransferase in A. sp.				
AAC(6')-Il	ARO:3004635	AAC(6')	aminoglycoside	inactivation	AAC(6')-Il is an aminoglycoside acetyltransferase encoded by plasmids and integrons in Enterobacter cloaecae and Klebsiella aerogenes				
AAC(6')-Im	ARO:3004629	AAC(6')	aminoglycoside	inactivation	AAC(6')-Im is an aminoglycoside acetyltransferase encoded by plasmids in E. coli, and E. faecium				
AAC(6')-Ip	ARO:3002559	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ip is an aminoglycoside acetyltransferase encoded by plasmids and integrons in C. freundii, E. coli, E. faecium and Klebsiella aerogenes				
AAC(6')-Iq	ARO:3002560	AAC(6')	aminoglycoside	inactivation	AAC(6')-Iq is a aminoglycoside acetyltransferase encoded by plasmids and integrons in K. pneumoniae				
AAC(6')-Ir	ARO:3002561	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ir is a chromosomal-encoded aminoglycoside acetyltransferase in A. colistiniresistens				
AAC(6')-Is	ARO:3002562	AAC(6')	aminoglycoside	inactivation	AAC(6')-Is is a chromosomal-encoded aminoglycoside acetyltransferase in A. variabilis				
AAC(6')-Isa	ARO:3002563	AAC(6')	aminoglycoside	inactivation	AAC(6')-Isa is a plasmid-encoded aminoglycoside acetyltransferase in Streptomyces albulus				
AAC(6')-It	ARO:3002564	AAC(6')	aminoglycoside	inactivation	AAC(6')-It is a chromosomal-encoded aminoglycoside acetyltransferase in A. genomosp. 16				
AAC(6')-Iu	ARO:3002565	AAC(6')	aminoglycoside	inactivation	AAC(6')-Iu is a chromosomal-encoded aminoglycoside acetyltransferase in A. genomosp. 17				
AAC(6')-Iv	ARO:3002566	AAC(6')	aminoglycoside	inactivation	AAC(6')-Iv is a chromosomal-encoded aminoglycoside acetyltransferase in A. sp.				
AAC(6')-Iw	ARO:3002567	AAC(6')	aminoglycoside	inactivation	AAC(6')-Iw is a chromosomal-encoded aminoglycoside acetyltransferase in A. sp.				
AAC(6')-Ix	ARO:3002568	AAC(6')	aminoglycoside	inactivation	AAC(6')-Ix is a chromosomal-encoded aminoglycoside acetyltransferase in A. sp.				
AAC(6')-Iy	ARO:3002569	AAC(6')	aminoglycoside	inactivation	AAC(6')-Iy is a chromosomal-encoded aminoglycoside acetyltransferase in S. enteritidis and S. enterica. Regulatory mutation required to increase expression of this chromosomally-encoded gene for resistance. In the specific system, aminoglycoside resistance was due to a transcriptional fusion secondary to a chromosomal deletion in which the downstream aac(6')-Iy gene was placed under the control of the upstream nmpC promoter.				
AAC(6')-Iz	ARO:3002570	AAC(6')	aminoglycoside	inactivation	AAC(6')-Iz is a chromosomal-encoded aminoglycoside acetyltransferase in S. maltophilia				
aacA43	ARO:3004641	AAC(6')	aminoglycoside	inactivation	aacA43 is an aminoglycoside acetyltransferase encoded by integrons found in Klebsiella pneumoniae, E.coli, and Enterobacter cloaecae				
ANT(3'')-Ii-AAC(6')-IId	ARO:3002598	AAC(6');ANT(3'')	aminoglycoside	inactivation	ANT(3'')-Ii-AAC(6')-Iid is an integron-encoded aminoglycoside acetyltransferase in S. marcescens.				
carA	ARO:3002817	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	carA is an ABC-F subfamily protein involved in macrolide resistance. It is found in Streptomyces thermotolerans				
eatAv	ARO:3003761	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	eatAv is a mutated form of the wildtype eatA ABC-F subfamily protein isolated from  conferring resistance to lincosamides, streptogramin A's and pleuromutilins (LSaP phenotype).				
lmrC	ARO:3002881	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	lmrC is an ABC-F subfamily protein that confers resistance to lincosamides in Streptomyces lincolnensis and Lactococcus lactis. It can dimerize w/ lmrD				
lsaA	ARO:3000300	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	LsaA is an ABC-F subfamily protein expressed in Enterococcus faecalis. It confers resistance to clindamycin, quinupristin-dalfopristin, and dalfopristin.				
lsaB	ARO:3003111	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	LsaB is an ABC-F subfamily protein expressed in Staphylococcus sciuri. It confers resistance to clindamycin.				
lsaC	ARO:3003112	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	LsaC is an ABC-F subfamily protein expressed in Streptococcus agalactiae. It confers resistance to lincomycin, clindamycin, dalfopristin, and tiamulin				
lsaE	ARO:3003206	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	lsaE is an ABC-F subfamily protein found in porcine MRSA isolates. It confers resistance to pleuromutilin, lincosamide, and streptogramin A				
mel	ARO:3000616	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	Mel, a homolog of MsrA, is an ABC-F subfamily protein associated w/ macrolide resistance. It is expressed on the same operon as mefA and mefE, both MFS-type efflux proteins that confer macrolide resistance.				
msrA	ARO:3000251	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	MsrA is an ABC-F subfamily ribosomal protection protein expressed in Staphylococcus species which confers resistance to erythromycin and streptogramin Bs through target protection mechanisms. It is associated w/ plasmid DNA.				
msrB	ARO:3002818	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	MsrB is an ABC-F subfamily protein expressed to Staphylococcus species that confers resistance to erythromycin and streptogramin Bs. It is associated w/ plasmid DNA.				
msrC	ARO:3002819	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	msrC is a chromosomal-encoded ABC-F subfamily protein expressed in  that confers resistance to erythromycin and other macrolide and streptogramin Bs.				
msrE	ARO:3003109	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	MsrE is an ABC-F subfamily protein expressed to Klebsiella pneumoniae that confers resistance to erythromycin and streptogramin Bs. It is associated w/ plasmid DNA. It is also 100% identical to ABC-F type ribosomal protection protein Msr(E) which is in multiple species.				
oleB	ARO:3003036	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	oleB is an ABC-F subfamily protein in Streptomycesus and is involved in oleandomycin secretion				
optrA	ARO:3003746	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	OptrA is a member of the ABC-F protein subfamily that confers resistance to oxazolidinones. The gene encoding the protein was originally isolated from a plasmid in Enterococcus faecalis and .				
poxtA	ARO:3004470	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	PoxtA is an ABC-F subfamily ATP-binding cassette protein that confers resistance to tetracycline, -phenicol, and oxazolidinone via modification of the bacterial ribosome. The encoding gene was isolated from a methicillin-resistant S.aureus strain.				
salA	ARO:3003749	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	salA is an ABC-F subfamily protein gene isolated from the chromosome of Staphylococcus sciuri conferring resistance to lincosamides and streptogramins.				
srmB	ARO:3002828	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	srmB is an ABC-F subfamily protein found in Streptomyces ambofaciens that confers resistance to spiramycin				
tlrC	ARO:3002827	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	tlrC is an ABC-F subfamily protein found in Streptomyces fradiae and confers resistance to mycinamicin, tylosin and lincosamides. tlrC is found in the tylosin biosynthetic cluster and is one mechanism by which S. fradiae protects itself from self-destruction when producing this macrolide.				
tva(A)	ARO:3004730	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	A pleuromutilin resistance gene encoding a predicted ABC-F transporter. The presence of inhibitory or sub-inhibitory concentrations of tiamulin showed that tva(A) confers reduced pleuromutilin susceptibility that does not lead to clinical resistance but facilitates the development of higher-level resistance via mutations in genes encoding ribosome-associated functions.				
vga€	ARO:3004715	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	vga(E) gene variant that confers resistance to pleuromutilins, lincosamides and streptogramin As in staphylococci				
vgaA	ARO:3002829	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	vgaA is an ABC-F subfamily protein expressed in staphylococci that confers resistance to streptogramin As and related compounds. It is associated w/ plasmid DNA.				
vgaALC	ARO:3002830	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	vgaALC is an ABC-F subfamily protein expressed in staphylococci that confers resistance to streptogramin As and related compounds. It is associated w/ plasmid DNA.				
vgaB	ARO:3000118	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	Vga(B) is an ABC-F protein expressed in staphylococci that confers resistance to streptogramin As and related compounds. It is associated w/ plasmid DNA.				
vgaC	ARO:3002831	ABC-F ATP-binding cassette ribosomal protection protein	macrolide;lincosamide;streptogramin;tetracycline;oxazolidinone;phenicol;pleuromutilin	target protection	vgaC is an ABC-F subfamily protein expressed in staphylococci that confers resistance to streptogramin As and related compounds. It is associated w/ plasmid DNA.				
